name,canonical_url,language,country,lead_type,audience_size,last_active,evidence_url,topic,personalization_note,official_contact_page_url,verification_status
Asociación Argentina de Productores en Siembra Directa (Aapresid),https://www.aapresid.org.ar/en,Spanish,Argentina,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Asociación Argentina de Productores en Siembra Directa (Aapresid)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.aapresid.org.ar/en,verified_current_official_member_directory; contact_surface_needs_manual_review
NSW Farmers,https://www.nswfarmers.org.au,English,Australia,farmer_association_group,,2026-08-17,https://www.nswfarmers.org.au/NewsEvents,farmer advocacy and member services,FarmerBook's professional farmer profiles and commission-free produce marketplace could help NSW Farmers's farmer advocacy and member services community build trusted professional identity and direct buyer connections.,https://www.nswfarmers.org.au/contact-us,verified_official_site_and_public_contact_surface; no_contact_values_collected
Landwirtschaftskammer Österreich - LKÖ (Austrian Chamber of Agriculture),http://www.lk-oe.at,German,Austria,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Landwirtschaftskammer Österreich - LKÖ (Austrian Chamber of Agriculture)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.lk-oe.at,verified_current_official_member_directory; contact_surface_needs_manual_review
Groene Kring,http://www.groenekring.be,Dutch/French,Belgium,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Groene Kring's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.groenekring.be,verified_current_official_member_directory; contact_surface_needs_manual_review
National Farmers Union Canada,https://www.nfu.ca,English/French,Canada,farmer_association_group,,2026-08-17,https://www.nfu.ca/news,family farm advocacy,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Farmers Union Canada's family farm advocacy community build trusted professional identity and direct buyer connections.,https://www.nfu.ca/contact,verified_official_site_and_public_contact_surface; no_contact_values_collected
Panagrotikos Farmers’ Union (PANAGROTIKOS),http://www.panagrotikos.org.cy,Greek/Turkish,Cyprus,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Panagrotikos Farmers’ Union (PANAGROTIKOS)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.panagrotikos.org.cy,verified_current_official_member_directory; contact_surface_needs_manual_review
Landbrug & Fødevarer -  Danish Agriculture and Food Council - DAFC,http://www.lf.dk,Danish/English,Denmark,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Landbrug & Fødevarer -  Danish Agriculture and Food Council - DAFC's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.lf.dk,verified_current_official_member_directory; contact_surface_needs_manual_review
Réseau pour la Sécurité et la Souveraineté Alimentaire en République Démocratique du Congo (RESSAC),https://ressacnetwork.org/,French,Dr Congo,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Réseau pour la Sécurité et la Souveraineté Alimentaire en République Démocratique du Congo (RESSAC)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://ressacnetwork.org/,verified_current_official_member_directory; contact_surface_needs_manual_review
Shamba Shape Up,https://www.youtube.com/channel/UCobyLKYulGSTe0ZZb4ILjDg,English/Swahili,East Africa,youtube_creator,,2026-08-17,https://www.youtube.com/channel/UCobyLKYulGSTe0ZZb4ILjDg/videos,smallholder farmer education,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Shamba Shape Up's smallholder farmer education community build trusted professional identity and direct buyer connections.,https://shambashapeup.com/about/partner-us/,verified_creator_site_and_official_youtube; no_contact_values_collected
Copa-Cogeca,https://copa-cogeca.eu,English/Multilingual,Europe,farmer_association_group,,2026-08-17,https://copa-cogeca.eu/press-releases,farmers and agricultural cooperatives,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Copa-Cogeca's farmers and agricultural cooperatives community build trusted professional identity and direct buyer connections.,https://copa-cogeca.eu/home/ContactUs,verified_official_site_and_public_contact_surface; no_contact_values_collected
Chambres d'agriculture France  (APCA),http://www.apca.chambagri.fr/,French,France,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Chambres d'agriculture France  (APCA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.apca.chambagri.fr/,verified_current_official_member_directory; contact_surface_needs_manual_review
Peace and Love Young Farmers Association LBG (PLYFA LBG),https://www.plyfa.org/,English,Ghana,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Peace and Love Young Farmers Association LBG (PLYFA LBG)'s young farmers community build trusted professional identity and direct buyer connections.,https://www.plyfa.org/,verified_current_official_member_directory; contact_surface_needs_manual_review
IFOAM Organics International,https://www.ifoam.bio,English/Multilingual,Global,farmer_association_group,,2026-08-17,https://www.ifoam.bio/news-and-press,organic agriculture,FarmerBook's professional farmer profiles and commission-free produce marketplace could help IFOAM Organics International's organic agriculture community build trusted professional identity and direct buyer connections.,https://www.ifoam.bio/about-us/contact,verified_official_site_and_public_contact_surface; no_contact_values_collected
Irish Creamery Milk Suppliers Association,https://icmsa.ie,English,Ireland,farmer_association_group,,2026-08-17,https://icmsa.ie/news-and-events/,dairy and livestock farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Irish Creamery Milk Suppliers Association's dairy and livestock farmers community build trusted professional identity and direct buyer connections.,https://icmsa.ie/contact-us,verified_official_site_and_public_contact_surface; no_contact_values_collected
Associazione Nazionale Giovani Agricoltori (ANGA),http://www.confagricoltura.it/ita/anga/,Italian,Italy,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Associazione Nazionale Giovani Agricoltori (ANGA)'s young farmers community build trusted professional identity and direct buyer connections.,http://www.confagricoltura.it/ita/anga/,verified_current_official_member_directory; contact_surface_needs_manual_review
National Chamber of Agriculture (NCA),http://www.nca.or.jp,Japanese,Japan,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Chamber of Agriculture (NCA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.nca.or.jp,verified_current_official_member_directory; contact_surface_needs_manual_review
Lëtzebuerger Landjugend a Jongbaueren,http://jongbaueren.lu/llj/,Luxembourgish/French/German,Luxembourg,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Lëtzebuerger Landjugend a Jongbaueren's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://jongbaueren.lu/llj/,verified_current_official_member_directory; contact_surface_needs_manual_review
FIFATA,http://www.fifata.net/,English/Multilingual,Madagascar,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help FIFATA's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.fifata.net/,verified_current_official_member_directory; contact_surface_needs_manual_review
National Association of Smallholder Farmers (NASFAM),https://www.facebook.com/nasfammw,English/Multilingual,Malawi,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Association of Smallholder Farmers (NASFAM)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://www.facebook.com/nasfammw,verified_current_official_member_directory; contact_surface_needs_manual_review
Federated Farmers of New Zealand,http://www.fedfarm.org.nz,English,New Zealand,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Federated Farmers of New Zealand's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.fedfarm.org.nz,verified_current_official_member_directory; contact_surface_needs_manual_review
Norsk Landbrukssamvirke,https://www.landbruk.no,Norwegian,Norway,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,agricultural cooperatives,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Norsk Landbrukssamvirke's agricultural cooperatives community build trusted professional identity and direct buyer connections.,https://www.landbruk.no,verified_current_official_member_directory; contact_surface_needs_manual_review
Federacja Branżowych Związków Producentów Rolnych - FBZPR (Federation of Agricultural Producers Union),http://www.fbzpr.org.pl/,Polish,Poland,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Federacja Branżowych Związków Producentów Rolnych - FBZPR (Federation of Agricultural Producers Union)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.fbzpr.org.pl/,verified_current_official_member_directory; contact_surface_needs_manual_review
Slovenská Poľnohospodárska a Potravinárska Komora  - SPPK (Slovak Chamber of Agriculture and Food),http://www.sppk.sk,Slovak,Slovakia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Slovenská Poľnohospodárska a Potravinárska Komora  - SPPK (Slovak Chamber of Agriculture and Food)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.sppk.sk,verified_current_official_member_directory; contact_surface_needs_manual_review
Southern African Agri Initiative (SAAI),https://saai.org/en/,English,South Africa,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Southern African Agri Initiative (SAAI)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://saai.org/en/,verified_current_official_member_directory; contact_surface_needs_manual_review
Asociacion Agraria - Jovenes Agricultores (ASAJA),http://www.asaja.com,Spanish,Spain,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Asociacion Agraria - Jovenes Agricultores (ASAJA)'s young farmers community build trusted professional identity and direct buyer connections.,http://www.asaja.com,verified_current_official_member_directory; contact_surface_needs_manual_review
Federation of Southern Cooperatives,https://www.federation.coop,English,USA,farmer_association_group,,2026-08-17,https://www.federation.coop/news,farmer cooperatives and Black farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Federation of Southern Cooperatives's farmer cooperatives and Black farmers community build trusted professional identity and direct buyer connections.,https://www.federation.coop/contact,verified_official_site_and_public_contact_surface; no_contact_values_collected
Uganda National Farmers Federation (UNFFE),http://unffe.org.ug/,English,Uganda,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Uganda National Farmers Federation (UNFFE)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://unffe.org.ug/,verified_current_official_member_directory; contact_surface_needs_manual_review
Zimbabwe Farmers Union (ZFU),http://www.zfu.org.zw,English,Zimbabwe,farmer_association_group,,2026-07-01,https://www.wfo-oma.org/members/list-members/,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Zimbabwe Farmers Union (ZFU)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://www.zfu.org.zw,verified_current_official_member_directory; contact_surface_needs_manual_review
Fairtrade Africa,https://www.fairtrade.net/africa-en.html,English/Multilingual,Africa,farmer_association_group,,2026-08-17,https://www.fairtrade.net/africa-en/why-fairtrade/impact/impact-stories-.html,producer networks and fair market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Fairtrade Africa's producer networks and fair market access community build trusted professional identity and direct buyer connections.,https://www.fairtrade.net/africa-en/contact-us/report-a-concern.html,verified_official_site_and_public_contact_surface; no_contact_values_collected
Federación Agraria Argentina,https://faa.com.ar/,Spanish,Argentina,farmer_association_group,,2026-08-17,https://faa.com.ar/,small and medium farm representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Federación Agraria Argentina's small and medium farm representation community build trusted professional identity and direct buyer connections.,https://faa.com.ar/,verified_official_site_and_public_contact_surface; no_contact_values_collected
Victorian Farmers Federation,https://vff.org.au/,English,Australia,farmer_association_group,,2026-08-17,https://vff.org.au/category/vff-news/,state farmer representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Victorian Farmers Federation's state farmer representation community build trusted professional identity and direct buyer connections.,https://vff.org.au/contact/,verified_official_site_and_public_contact_surface; no_contact_values_collected
Ontario Federation of Agriculture,https://ofa.on.ca,English/French,Canada,farmer_association_group,,2026-08-17,https://ofa.on.ca/newsroom,provincial agricultural producers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Ontario Federation of Agriculture's provincial agricultural producers community build trusted professional identity and direct buyer connections.,https://ofa.on.ca/contact-us,verified_official_site_and_public_contact_surface; no_contact_values_collected
European Coordination Via Campesina,https://www.eurovia.org,English/Multilingual,Europe,farmer_association_group,,2026-08-17,https://www.eurovia.org/news-and-events/,small and peasant farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help European Coordination Via Campesina's small and peasant farmers community build trusted professional identity and direct buyer connections.,https://www.eurovia.org/contact,verified_official_site_and_public_contact_surface; no_contact_values_collected
Ghana Federation of Forest and Farm Producers,https://ghaffap.org,English,Ghana,farmer_association_group,,2026-08-17,https://ghaffap.org/news/,forest and farm producer organisations,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Ghana Federation of Forest and Farm Producers's forest and farm producer organisations community build trusted professional identity and direct buyer connections.,https://ghaffap.org/contact/,verified_official_site_and_public_contact_surface; no_contact_values_collected
Millennial Farmer,https://www.youtube.com/c/MNMillennialFarmer,English,USA,youtube_creator,,2026-08-17,https://www.youtube.com/c/MNMillennialFarmer/videos,row crop farming and public farm education,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Millennial Farmer's farm audience trusted professional identities and direct buyer connections.,https://www.mnmillennialfarmer.com/sponsorship-opportunities,verified_creator_site_and_official_youtube; no_contact_values_collected
Welker Farms,https://www.youtube.com/welkerfarmsinc,English,USA,youtube_creator,,2026-08-17,https://www.youtube.com/welkerfarmsinc/videos,large-scale grain farming and machinery,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Welker Farms' grain-farming audience trusted professional identities and direct buyer connections.,https://welkerfarmsinc.com/,verified_creator_site_and_official_youtube; no_contact_values_collected
Larson Farms,https://www.youtube.com/channel/UC1oEXMoRAeYu8Vj21F5xzLg,English,USA,youtube_creator,,2026-08-17,https://www.youtube.com/channel/UC1oEXMoRAeYu8Vj21F5xzLg/videos,row crop farming and machinery,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Larson Farms' row-crop audience trusted professional identities and direct buyer connections.,https://www.larsonfarms.com/#contact-section,verified_creator_site_and_official_youtube; no_contact_values_collected
Sonne Farms,https://www.youtube.com/channel/UCSTZGtlBaX5ympBGEnG13Uw,English,USA,youtube_creator,,2026-08-17,https://www.youtube.com/channel/UCSTZGtlBaX5ympBGEnG13Uw/videos,beef cattle and crop farming,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Sonne Farms' livestock-and-crop audience trusted professional identities and direct buyer connections.,https://www.sonnefarms.com,verified_creator_site_and_official_youtube; no_contact_values_collected
How Farms Work,https://www.youtube.com/user/ryanfun1,English,USA,youtube_creator,,2026-08-17,https://www.youtube.com/user/ryanfun1/videos,practical farm operations and equipment,FarmerBook's professional farmer profiles and commission-free produce marketplace could give How Farms Work's practical-farming audience trusted professional identities and direct buyer connections.,https://www.howfarmswork.com/contact.html,verified_creator_site_and_official_youtube; no_contact_values_collected
Quick Dick McDick,https://www.youtube.com/channel/UCQCdsHLE7N7HHGlHzYkKmwA,English/French,Canada,youtube_creator,,2026-08-17,https://www.youtube.com/channel/UCQCdsHLE7N7HHGlHzYkKmwA/videos,prairie farming and rural commentary,FarmerBook's professional farmer profiles and commission-free produce marketplace could give Quick Dick McDick's prairie-farming audience trusted professional identities and direct buyer connections.,https://quickdickmcdick.ca/pages/contact-us,verified_creator_site_and_official_youtube; no_contact_values_collected
