name,canonical_url,priority_tier,priority_reason,language,country,lead_type,audience_size,last_active,evidence_url,topic,personalization_note,official_contact_page_url,source_file,verification_status
Copa-Cogeca,https://copa-cogeca.eu/,3_general_farming,General farming relevance,English/Multilingual,Europe,farmer_association_group,,2026-08-17,https://copa-cogeca.eu/press-releases,farmers and agricultural cooperatives,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Copa-Cogeca's farmers and agricultural cooperatives community build trusted professional identity and direct buyer connections.,https://copa-cogeca.eu/home/ContactUs,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Global Farmer Network,https://globalfarmernetwork.org/,3_general_farming,General farming relevance,English/Multilingual,Global,farmer_association_group,,2026-08-17,https://globalfarmernetwork.org/blog,farmer-to-farmer global network,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Global Farmer Network's farmer-to-farmer global network community build trusted professional identity and direct buyer connections.,https://globalfarmernetwork.org/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Nemzeti Agrárgazdasági Kamara  -  HCA (Hungarian Chamber of Agriculture),http://nak.hu/,3_general_farming,General farming relevance,English/Multilingual,Hungary,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Nemzeti Agrárgazdasági Kamara  -  HCA (Hungarian Chamber of Agriculture)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://nak.hu/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Coalition Paysanne de Madagascar (FTM/CPM),https://cpm.mg/,3_general_farming,General farming relevance,English/Multilingual,Madagascar,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Coalition Paysanne de Madagascar (FTM/CPM)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://cpm.mg/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
FIFATA,http://fifata.net/,3_general_farming,General farming relevance,English/Multilingual,Madagascar,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help FIFATA's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://fifata.net/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Farmers Union of Malawi (FUM),https://facebook.com/@farmersunionmw,3_general_farming,General farming relevance,English/Multilingual,Malawi,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Farmers Union of Malawi (FUM)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://facebook.com/@farmersunionmw,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Southern African Confederation of Agricultural Unions,https://sacau.org/,3_general_farming,General farming relevance,English/Multilingual,Southern Africa,farmer_association_group,,2026-08-17,https://sacau.org/category/news,regional agricultural unions,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Southern African Confederation of Agricultural Unions's regional agricultural unions community build trusted professional identity and direct buyer connections.,https://sacau.org/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
UK National Farmers’ Union (UK NFU),https://nfuonline.com/,3_general_farming,General farming relevance,English/Multilingual,Uk,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help UK National Farmers’ Union (UK NFU)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://nfuonline.com/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
US National Farmers Union (US NFU),https://nfu.org/,3_general_farming,General farming relevance,English/Multilingual,Usa,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help US National Farmers Union (US NFU)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://nfu.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Eastern Africa Farmers Federation,https://eaffu.org/,3_general_farming,General farming relevance,English/Swahili,East Africa,farmer_association_group,,2026-08-17,https://eaffu.org/news,regional farmer federation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Eastern Africa Farmers Federation's regional farmer federation community build trusted professional identity and direct buyer connections.,https://eaffu.org/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Kenya National Farmers’ Federation (KENAFF),https://kenaff.org/,3_general_farming,General farming relevance,English/Swahili,Kenya,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Kenya National Farmers’ Federation (KENAFF)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://kenaff.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
"Eesti Põllumajandus-Kaubanduskoda - EPKK (Estonian Chamber of Agriculture and Commerce
Estonian Farmers Organisations and Chamber of Agriculture and Commerce)",http://epkk.ee/,3_general_farming,General farming relevance,Estonian,Estonia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,"FarmerBook's professional farmer profiles and commission-free produce marketplace could help Eesti Põllumajandus-Kaubanduskoda - EPKK (Estonian Chamber of Agriculture and Commerce
Estonian Farmers Organisations and Chamber of Agriculture and Commerce)'s farmer representation and market access community build trusted professional identity and direct buyer connections.",http://epkk.ee/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Maa- ja metsätaloustuottajain Keskusliitto (MTK),https://mtk.fi/,3_general_farming,General farming relevance,Finnish/Swedish,Finland,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Maa- ja metsätaloustuottajain Keskusliitto (MTK)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://mtk.fi/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Confédération Nationale des Producteurs Agricoles du Congo (CONAPAC),https://conapacrdc.org/,3_general_farming,General farming relevance,French,Dr Congo,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Confédération Nationale des Producteurs Agricoles du Congo (CONAPAC)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://conapacrdc.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Réseau pour la Sécurité et la Souveraineté Alimentaire en République Démocratique du Congo (RESSAC),https://ressacnetwork.org/,3_general_farming,General farming relevance,French,Dr Congo,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Réseau pour la Sécurité et la Souveraineté Alimentaire en République Démocratique du Congo (RESSAC)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://ressacnetwork.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Chambres d'agriculture France  (APCA),http://apca.chambagri.fr/,3_general_farming,General farming relevance,French,France,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Chambres d'agriculture France  (APCA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://apca.chambagri.fr/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Fédération Nationale des Syndicats d’Exploitants Agricoles (FNSEA),https://fnsea.fr/,3_general_farming,General farming relevance,French,France,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Fédération Nationale des Syndicats d’Exploitants Agricoles (FNSEA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://fnsea.fr/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Organisation Agricole de Développement pour la Production des Paysans Haïtiens (OADEPROPAH-Haiti),http://oadepropahhaiti.org/,3_general_farming,General farming relevance,French/Haitian Creole,Haiti,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Organisation Agricole de Développement pour la Production des Paysans Haïtiens (OADEPROPAH-Haiti)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://oadepropahhaiti.org/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Georgian Farmers’ Association (GFA),https://gfa.org.ge/,3_general_farming,General farming relevance,Georgian,Georgia,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Georgian Farmers’ Association (GFA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://gfa.org.ge/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Landwirtschaftskammer Österreich - LKÖ (Austrian Chamber of Agriculture),http://lk-oe.at/,3_general_farming,General farming relevance,German,Austria,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Landwirtschaftskammer Österreich - LKÖ (Austrian Chamber of Agriculture)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://lk-oe.at/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Landwirtschaftskammer Österreich (LKÖ),https://lko.at/,3_general_farming,General farming relevance,German,Austria,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Landwirtschaftskammer Österreich (LKÖ)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://lko.at/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Deutscher Bauernverband e.V. (DBV),https://bauernverband.de/,3_general_farming,General farming relevance,German,Germany,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Deutscher Bauernverband e.V. (DBV)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://bauernverband.de/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Schweizer Bauernverband (SBV),https://sbv-usp.ch/de,3_general_farming,General farming relevance,German/French/Italian,Switzerland,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Schweizer Bauernverband (SBV)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://sbv-usp.ch/de,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
GAIA  EPICHEIREIN,http://c-gaia.gr/,3_general_farming,General farming relevance,Greek,Greece,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help GAIA  EPICHEIREIN's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://c-gaia.gr/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Kıbrıs Türk Çiftçiler Birliği,https://ciftcilerbirligi.org/iletisim,3_general_farming,General farming relevance,Greek/Turkish,Cyprus,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Kıbrıs Türk Çiftçiler Birliği's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://ciftcilerbirligi.org/iletisim,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Panagrotikos Farmers’ Union (PANAGROTIKOS),http://panagrotikos.org.cy/,3_general_farming,General farming relevance,Greek/Turkish,Cyprus,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Panagrotikos Farmers’ Union (PANAGROTIKOS)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://panagrotikos.org.cy/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Agriculture RS Rajput,https://youtube.com/channel/UCfaFFkQzaH0WkmQJdTlfxLQ,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-06-12,https://vidiq.com/youtube-stats/channel/%40agriculturersrajput,"Agriculture education, crop policy, MSP and animal husbandry","Its agriculture-learning audience could graduate from information to professional FarmerBook profiles and direct, commission-free buyer discovery.",https://krishipariksha.com/,hindi_leads.csv,verified_current_channel_activity_index_and_official_community_link
Agritech Guruji,https://youtube.com/@AgritechGuruji,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-03-12,https://agritechguruji.com/,"Farm machinery, tractor reviews, crop advice and mandi information",Its machinery and mandi-aware audience could use FarmerBook to document farm capabilities and list produce commission-free to direct buyers and wholesalers.,https://agritechguruji.com/,hindi_leads.csv,verified_first_party_current_2026_content_and_canonical_channel
Apni Kheti,https://youtube.com/@ApniKheti,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-01-16,https://youtube.com/watch?v=6wt7QV3e_Fs,Crop and livestock advisory with practical cultivation lessons,Its advisory-led growers could document their crops through FarmerBook profiles and meet direct buyers and wholesalers without paying marketplace commission.,https://apnikheti.com/,hindi_leads.csv,verified_indexed_exact_video_and_official_site
D Farming,https://youtube.com/channel/UCm52s9OT0EiSSRL7JPDyfjA,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-04-16,https://vidiq.com/vi/youtube-stats/channel/UCm52s9OT0EiSSRL7JPDyfjA,"Crop cultivation, varietal guidance and mandi price outlooks",Its cultivation and price-outlook audience could use FarmerBook to list harvests directly to buyers and wholesalers without commission.,,hindi_leads.csv,verified_current_channel_activity_index_with_dated_videos
DD Kisan,https://youtube.com/@DDkisan,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-08,https://prasarbharati.gov.in/hi/dd-kisan,"Weather, mandi prices, crop advisories, horticulture and animal health",Its public-service farming audience could discover FarmerBook as a complementary path to professional profiles and commission-free direct market access.,https://prasarbharati.gov.in/hi/dd-kisan,hindi_leads.csv,verified_first_party_current_program_page; exact_upload_date_not_indexed
Farming Leader,https://youtube.com/@farmingleaderOfficial,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-06-04,https://agrospectrumindia.com/2026/06/04/balwaan-krishi-acquires-indias-largest-agri-youtube-platform.html,"Field-tested crop practices, equipment, government schemes and mandi insights",Its large practical-farming community is well aligned with FarmerBook professional grower profiles and commission-free buyer and wholesaler discovery.,https://balwaan.com/about-us,hindi_leads.csv,verified_current_2026_industry_source_and_canonical_channel
India Farming Management,https://youtube.com/@indiafarmingmanagement,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-06-23,https://vidiq.com/youtube-stats/channel/UCtYn65BqtwwC5hg-O2gVtDA,"Dairy farm management, commercial operations and equipment",Its commercially minded dairy and farm-operations audience matches FarmerBook's professional profiles and direct commission-free market access.,,hindi_leads.csv,verified_current_channel_activity_index
Indian Farm Rover,https://youtube.com/@IndianFarmRover,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-01-08,https://youtube.com/watch?v=mjks7f6kdLA,"Dairy, livestock and on-farm enterprise visits",Its farm-visit and dairy audience could build credible FarmerBook enterprise profiles and connect directly with relevant buyers without marketplace commission.,,hindi_leads.csv,verified_indexed_exact_video_and_canonical_channel
Kisan India,https://youtube.com/@kisanindia,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-02-27,https://youtube.com/watch?v=q4GMPuTdtwM,"Agriculture news, livestock, mandi updates and government schemes",Its scheme- and market-focused farmers could use FarmerBook profiles to convert new opportunities into commission-free direct buyer and wholesaler relationships.,https://kisanindia.in/contact-us,hindi_leads.csv,verified_indexed_exact_video_and_first_party_site
Kisan Tak,https://youtube.com/@kisantakofficial,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-01-07,https://youtube.com/watch?v=nufgB2qAQAY,"Crop economics, agricultural news, schemes and livestock",Its crop-market and policy audience is relevant for FarmerBook's professional farmer discovery and commission-free direct produce listings.,https://kisantak.in/,hindi_leads.csv,verified_indexed_exact_video_and_first_party_channel_link
Mhari Kheti Mhare Pashu,https://youtube.com/channel/UCLVe88C-5CAGaAuXoV2pVFA,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-03-29,https://youtube.com/watch?v=kIPS4ivud0E,Integrated crop cultivation and animal husbandry,Its integrated farming and animal-husbandry audience could present diversified farm enterprises on FarmerBook and seek direct commission-free market connections.,,hindi_leads.csv,verified_indexed_exact_video_and_channel_id
My Kisan Dost,https://youtube.com/c/MyKisanDost,3_general_farming,General farming relevance,Hindi,,youtube_creator,,2026-01-13,https://youtube.com/watch?v=TK3vllGqyt8,Small-farm machinery and practical cultivation,Its small-farmer and machinery audience could use FarmerBook professional profiles to present farm capacity and create commission-free produce listings for direct buyers and wholesalers.,https://mykisandost.com/,hindi_leads.csv,verified_indexed_exact_video_and_canonical_channel
MANAGEIndia,https://youtube.com/manageindia,3_general_farming,General farming relevance,Hindi/English,,youtube_creator,,2026-08,https://manage.gov.in/manage-hindi/default-hindi.asp,"Agricultural extension, agripreneurship, training and high-tech farming",Its agripreneur and extension community could use FarmerBook profiles as a practical bridge from training to commission-free buyer and wholesaler access.,https://manage.gov.in/,hindi_leads.csv,verified_first_party_current_hindi_program_page_and_channel_link
Indian Agriculture Vlogs with om,https://youtube.com/@indianagriculture2964,3_general_farming,General farming relevance,Hindi/Hinglish,,youtube_creator,,2026-07-23,https://vidmaestro.com/channel/UCriDMrOI2NJ50Aj194Gh0lg,"Field work, soybean cultivation, tractors and farm machinery",Its field-work and machinery viewers could show their real farm operations on FarmerBook and connect their produce directly with buyers and wholesalers.,,hindi_leads.csv,verified_current_channel_activity_index_with_recent_video_list
Tractor Junction,https://youtube.com/@tractorjunction,3_general_farming,General farming relevance,Hindi/Hinglish,,youtube_creator,,2026-07-15,https://socialblade.com/youtube/handle/tractorjunction,Farm machinery reviews and the agricultural equipment marketplace,Its machinery-focused growers could add professional FarmerBook profiles that show operational capacity while listing produce directly to buyers without commission.,https://tractorjunction.com/contact-us,hindi_leads.csv,verified_current_channel_activity_index
Associazione Giovani Imprenditori Agricoli (AGIA),https://cia.it/associazioni-cia/agia,3_general_farming,General farming relevance,Italian,Italy,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Associazione Giovani Imprenditori Agricoli (AGIA)'s young farmers community build trusted professional identity and direct buyer connections.,https://cia.it/associazioni-cia/agia,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Associazione Nazionale Giovani Agricoltori (ANGA),http://confagricoltura.it/ita/anga,3_general_farming,General farming relevance,Italian,Italy,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Associazione Nazionale Giovani Agricoltori (ANGA)'s young farmers community build trusted professional identity and direct buyer connections.,http://confagricoltura.it/ita/anga,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
JA Zenchu,https://zenchu-ja.or.jp/,3_general_farming,General farming relevance,Japanese,Japan,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help JA Zenchu's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://zenchu-ja.or.jp/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
National Chamber of Agriculture (NCA),http://nca.or.jp/,3_general_farming,General farming relevance,Japanese,Japan,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help National Chamber of Agriculture (NCA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://nca.or.jp/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Latvian Agricultural Organization Cooperation Council  - LAOCC (LOSP) (Lauksaimnieku organizāciju sadarbības padome (LOSP)),http://losp.lv/,3_general_farming,General farming relevance,Latvian,Latvia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,agricultural cooperatives,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Latvian Agricultural Organization Cooperation Council  - LAOCC (LOSP) (Lauksaimnieku organizāciju sadarbības padome (LOSP))'s agricultural cooperatives community build trusted professional identity and direct buyer connections.,http://losp.lv/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Lietuvos Respublikos žemės ūkio rūmai  - LRŽŪR ((Chamber of Agriculture of the Republic of Lithuania)),http://lus.lt/,3_general_farming,General farming relevance,Lithuanian,Lithuania,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Lietuvos Respublikos žemės ūkio rūmai  - LRŽŪR ((Chamber of Agriculture of the Republic of Lithuania))'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://lus.lt/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Baueren Allianz,https://facebook.com/BauerenAllianz,3_general_farming,General farming relevance,Luxembourgish/French/German,Luxembourg,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Baueren Allianz's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://facebook.com/BauerenAllianz,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Lëtzebuerger Landjugend a Jongbaueren,http://jongbaueren.lu/llj,3_general_farming,General farming relevance,Luxembourgish/French/German,Luxembourg,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Lëtzebuerger Landjugend a Jongbaueren's farmer representation and market access community build trusted professional identity and direct buyer connections.,http://jongbaueren.lu/llj,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Norges Bondelag,https://bondelaget.no/,3_general_farming,General farming relevance,Norwegian,Norway,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Norges Bondelag's farmer representation and market access community build trusted professional identity and direct buyer connections.,https://bondelaget.no/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Norsk Landbrukssamvirke,https://landbruk.no/,3_general_farming,General farming relevance,Norwegian,Norway,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,agricultural cooperatives,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Norsk Landbrukssamvirke's agricultural cooperatives community build trusted professional identity and direct buyer connections.,https://landbruk.no/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Federacja Branżowych Związków Producentów Rolnych - FBZPR (Federation of Agricultural Producers Union),http://fbzpr.org.pl/,3_general_farming,General farming relevance,Polish,Poland,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Federacja Branżowych Związków Producentów Rolnych - FBZPR (Federation of Agricultural Producers Union)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://fbzpr.org.pl/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Krajowa Rada Izb Rolniczych (KRIR),http://krir.pl/,3_general_farming,General farming relevance,Polish,Poland,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Krajowa Rada Izb Rolniczych (KRIR)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://krir.pl/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Confederação da Agricultura e Pecuária do Brasil (CNA),https://cnabrasil.org.br/,3_general_farming,General farming relevance,Portuguese,Brazil,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Confederação da Agricultura e Pecuária do Brasil (CNA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://cnabrasil.org.br/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Confederação dos Agricultores de Portugal (CAP),https://cap.pt/,3_general_farming,General farming relevance,Portuguese,Portugal,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Confederação dos Agricultores de Portugal (CAP)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://cap.pt/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Association of Slovak Young Farmers (ASYF),https://asyf.sk/,3_general_farming,General farming relevance,Slovak,Slovakia,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Association of Slovak Young Farmers (ASYF)'s young farmers community build trusted professional identity and direct buyer connections.,https://asyf.sk/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Slovenská Poľnohospodárska a Potravinárska Komora  - SPPK (Slovak Chamber of Agriculture and Food),http://sppk.sk/,3_general_farming,General farming relevance,Slovak,Slovakia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Slovenská Poľnohospodárska a Potravinárska Komora  - SPPK (Slovak Chamber of Agriculture and Food)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://sppk.sk/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Kmetijsko Gozdarska  Zbornica Slovenije  - KGZS (Chamber of Agriculture and Forestry of Slovenia - CAFS),http://kgzs.si/,3_general_farming,General farming relevance,Slovenian,Slovenia,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Kmetijsko Gozdarska  Zbornica Slovenije  - KGZS (Chamber of Agriculture and Forestry of Slovenia - CAFS)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,http://kgzs.si/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Asociación Argentina de Productores en Siembra Directa (Aapresid),https://aapresid.org.ar/en,3_general_farming,General farming relevance,Spanish,Argentina,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Asociación Argentina de Productores en Siembra Directa (Aapresid)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://aapresid.org.ar/en,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Federación Agraria Argentina,https://faa.com.ar/,3_general_farming,General farming relevance,Spanish,Argentina,farmer_association_group,,2026-08-17,https://faa.com.ar/,small and medium farm representation,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Federación Agraria Argentina's small and medium farm representation community build trusted professional identity and direct buyer connections.,https://faa.com.ar/,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Sociedad Rural Argentina (SRA),https://sra.ar/,3_general_farming,General farming relevance,Spanish,Argentina,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Sociedad Rural Argentina (SRA)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://sra.ar/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
